w_dataset,w_bm25,Hit@1,Hit@5,Hit@10,Hit@20,Hit@50,Hit@100,Hit@200,Hit@500,Hit@800,Hit@1000
0.0,1.0,0.25998641304347825,0.4182065217391304,0.5150815217391305,0.6182744565217392,0.7466711956521739,0.8314538043478261,0.8965353260869565,0.9467391304347826,0.9596467391304347,0.9633152173913043
0.01,0.99,0.25998641304347825,0.4182065217391304,0.5150815217391305,0.6182744565217392,0.7473505434782609,0.8317934782608696,0.8966032608695652,0.9467391304347826,0.9594429347826087,0.9633152173913043
0.02,0.98,0.26773097826086956,0.4237771739130435,0.5184103260869565,0.6199048913043478,0.7483695652173913,0.8329483695652173,0.8967391304347826,0.946875,0.959375,0.9633152173913043
0.03,0.97,0.27432065217391305,0.4273097826086957,0.5213994565217391,0.6222826086956522,0.7495244565217392,0.8336956521739131,0.8974184782608695,0.9472146739130435,0.9595108695652174,0.9633152173913043
0.04,0.96,0.2843070652173913,0.4320652173913043,0.5241847826086956,0.6244565217391305,0.7506793478260869,0.8339673913043478,0.897554347826087,0.9474864130434782,0.9595108695652174,0.9633152173913043
0.05,0.95,0.2904211956521739,0.436820652173913,0.5275815217391304,0.6259510869565217,0.7526494565217391,0.8347146739130434,0.8977581521739131,0.9473505434782609,0.959578804347826,0.9633152173913043
0.06,0.94,0.2954483695652174,0.44198369565217394,0.5310461956521739,0.6275815217391304,0.7528532608695652,0.8352581521739131,0.8982336956521739,0.9473505434782609,0.9597146739130434,0.9633152173913043
0.07,0.9299999999999999,0.3014266304347826,0.44605978260869567,0.5339673913043478,0.6289402173913043,0.7534646739130435,0.8357336956521739,0.8991847826086956,0.9478260869565217,0.9597146739130434,0.9633152173913043
0.08,0.92,0.30509510869565215,0.4513586956521739,0.5367527173913044,0.6311820652173913,0.7550951086956522,0.8366847826086956,0.8996603260869566,0.9478260869565217,0.9597146739130434,0.9633152173913043
0.09,0.91,0.3089673913043478,0.45584239130434784,0.5383152173913044,0.6333559782608695,0.7558423913043478,0.8373641304347826,0.9003396739130435,0.9478260869565217,0.9599184782608695,0.9633152173913043
0.1,0.9,0.3122961956521739,0.4592391304347826,0.540625,0.6341032608695653,0.7567934782608695,0.8377717391304348,0.900883152173913,0.947758152173913,0.9599184782608695,0.9633152173913043
0.11,0.89,0.3148777173913043,0.46338315217391307,0.5431385869565217,0.636616847826087,0.7578125,0.8381793478260869,0.9010190217391304,0.9476902173913043,0.9597826086956521,0.9633152173913043
0.12,0.88,0.31752717391304347,0.4673913043478261,0.5458559782608695,0.6391983695652174,0.758695652173913,0.8384510869565217,0.9011548913043478,0.9476902173913043,0.9597146739130434,0.9633152173913043
0.13,0.87,0.31990489130434785,0.47099184782608694,0.5476222826086956,0.6408288043478261,0.7595788043478261,0.8394021739130435,0.9018342391304348,0.9476902173913043,0.9596467391304347,0.9633152173913043
0.14,0.86,0.32275815217391307,0.4752717391304348,0.5516304347826086,0.6425951086956522,0.7606657608695652,0.8401494565217391,0.9023097826086957,0.9476902173913043,0.959578804347826,0.9633152173913043
0.15,0.85,0.3245923913043478,0.4800951086956522,0.5541440217391305,0.6438179347826087,0.7619565217391304,0.8411005434782609,0.9028532608695652,0.9479619565217391,0.9595108695652174,0.9633152173913043
0.16,0.84,0.3262907608695652,0.4832880434782609,0.5567255434782609,0.6453804347826086,0.7635869565217391,0.8415081521739131,0.9041440217391304,0.9480298913043478,0.9595108695652174,0.9633152173913043
0.17,0.83,0.3275815217391304,0.48716032608695653,0.5599864130434783,0.6479619565217392,0.7651494565217392,0.8426630434782608,0.9049592391304347,0.9483016304347827,0.959578804347826,0.9633152173913043
0.18,0.8200000000000001,0.32887228260869567,0.4891304347826087,0.5628396739130435,0.6500679347826087,0.7663043478260869,0.8432065217391305,0.905366847826087,0.9484375,0.959578804347826,0.9633152173913043
0.19,0.81,0.33070652173913045,0.49245923913043477,0.5660326086956522,0.6521739130434783,0.766983695652174,0.8447010869565217,0.9061141304347826,0.9485054347826087,0.959578804347826,0.9633152173913043
0.2,0.8,0.3329483695652174,0.4953125,0.5686820652173913,0.6527853260869565,0.76875,0.8456521739130435,0.9063858695652174,0.9485054347826087,0.9597146739130434,0.9633152173913043
0.21,0.79,0.334375,0.4980978260869565,0.5713994565217392,0.6548233695652174,0.7701086956521739,0.8472146739130435,0.9074728260869566,0.9485733695652174,0.9597146739130434,0.9633152173913043
0.22,0.78,0.33641304347826084,0.4997961956521739,0.5740489130434783,0.6563858695652174,0.7716032608695652,0.8486413043478261,0.9080163043478261,0.9485054347826087,0.9597146739130434,0.9633152173913043
0.23,0.77,0.33797554347826086,0.503125,0.5769021739130434,0.6581521739130435,0.7728260869565218,0.8502717391304347,0.9078125,0.9487092391304348,0.9596467391304347,0.9633152173913043
0.24,0.76,0.33865489130434784,0.5057065217391304,0.580570652173913,0.660054347826087,0.7744565217391305,0.8518342391304348,0.9080842391304348,0.9487092391304348,0.9597146739130434,0.9633152173913043
0.25,0.75,0.33967391304347827,0.5086277173913043,0.5830842391304348,0.6623641304347826,0.7760869565217391,0.8533967391304348,0.9084239130434782,0.9487771739130435,0.9597146739130434,0.9633152173913043
0.26,0.74,0.3406929347826087,0.511820652173913,0.5862771739130435,0.6651494565217392,0.7780570652173913,0.8546875,0.9082880434782609,0.9485733695652174,0.9597146739130434,0.9633152173913043
0.27,0.73,0.3420516304347826,0.5151494565217392,0.5890625,0.6674592391304348,0.7807065217391305,0.8561141304347826,0.9084239130434782,0.9486413043478261,0.9597826086956521,0.9633152173913043
0.28,0.72,0.34347826086956523,0.5171875,0.5925271739130434,0.6697690217391304,0.7822690217391305,0.8578804347826087,0.9089673913043478,0.9485733695652174,0.9597826086956521,0.9633152173913043
0.29,0.71,0.3442934782608696,0.5202445652173913,0.5957201086956522,0.6710597826086957,0.7842391304347827,0.8591711956521739,0.9097146739130435,0.9483695652173914,0.9597826086956521,0.9633152173913043
0.3,0.7,0.3456521739130435,0.522554347826087,0.5984375,0.673233695652174,0.7857336956521739,0.8598505434782608,0.9101902173913043,0.9483695652173914,0.959578804347826,0.9633152173913043
0.31,0.69,0.34633152173913045,0.5244565217391305,0.6012907608695652,0.6767663043478261,0.7877717391304347,0.8605978260869566,0.9099864130434783,0.9484375,0.9597826086956521,0.9633152173913043
0.32,0.6799999999999999,0.3470108695652174,0.5253396739130435,0.6038722826086956,0.6792798913043478,0.7896739130434782,0.8629076086956522,0.9101902173913043,0.9483016304347827,0.9597826086956521,0.9633152173913043
0.33,0.6699999999999999,0.3484375,0.5279891304347826,0.6065896739130435,0.681046195652174,0.7913722826086956,0.8640625,0.9104619565217391,0.9485054347826087,0.9597826086956521,0.9633152173913043
0.34,0.6599999999999999,0.3497961956521739,0.5293478260869565,0.6097146739130435,0.6824048913043478,0.7934103260869565,0.8652173913043478,0.9108695652173913,0.9483695652173914,0.9596467391304347,0.9633152173913043
0.35,0.65,0.35074728260869564,0.53125,0.6124320652173914,0.6847826086956522,0.7950407608695652,0.8658967391304347,0.9114130434782609,0.9485054347826087,0.9597826086956521,0.9633152173913043
0.36,0.64,0.3509510869565217,0.5340353260869565,0.6146059782608696,0.6879755434782608,0.7974184782608695,0.8670516304347826,0.9120244565217391,0.9483695652173914,0.9597146739130434,0.9633152173913043
0.37,0.63,0.35067934782608695,0.5360733695652173,0.6168478260869565,0.6914402173913043,0.7999320652173914,0.8676630434782608,0.9118885869565218,0.9484375,0.9597146739130434,0.9633152173913043
0.38,0.62,0.35115489130434785,0.5378396739130434,0.6189538043478261,0.6940217391304347,0.8021059782608696,0.8682744565217392,0.911616847826087,0.9487092391304348,0.9597146739130434,0.9633152173913043
0.39,0.61,0.3516983695652174,0.5396059782608695,0.6224184782608696,0.6964673913043479,0.8040081521739131,0.86875,0.911616847826087,0.9486413043478261,0.9598505434782608,0.9633152173913043
0.4,0.6,0.35251358695652174,0.5405570652173913,0.6243885869565218,0.6992527173913043,0.8067255434782609,0.8691576086956522,0.9120923913043478,0.9487092391304348,0.9598505434782608,0.9633152173913043
0.41,0.5900000000000001,0.35230978260869567,0.5418478260869565,0.626358695652174,0.7021059782608695,0.8091711956521739,0.8692934782608696,0.9126358695652174,0.9487092391304348,0.9598505434782608,0.9633152173913043
0.42,0.5800000000000001,0.3527853260869565,0.5433423913043478,0.6292119565217391,0.7054347826086956,0.8105978260869565,0.8695652173913043,0.9124320652173913,0.9487771739130435,0.9598505434782608,0.9633152173913043
0.43,0.5700000000000001,0.3521739130434783,0.5446331521739131,0.6313179347826087,0.7083559782608696,0.8119565217391305,0.8701086956521739,0.9126358695652174,0.9488451086956522,0.9599184782608695,0.9633152173913043
0.44,0.56,0.35244565217391305,0.5451766304347826,0.6331521739130435,0.7116847826086956,0.8141983695652174,0.8707201086956522,0.9124320652173913,0.9489130434782609,0.9597826086956521,0.9633152173913043
0.45,0.55,0.3526494565217391,0.546875,0.6345788043478261,0.7132472826086956,0.8160326086956522,0.8713315217391304,0.9120923913043478,0.9487092391304348,0.9597826086956521,0.9633152173913043
