model_name,breakpoint_threshold_type,breakpoint_threshold_amount,min_chunk_size,average_score,score0,score1,score2
all-MiniLM-L6-v2,percentile,1,50,0.07797005456000948,[0.05423728813559322, 0.08623853211009175, 0.09343434343434344]
all-MiniLM-L6-v2,percentile,1,100,0.07797005456000948,[0.05423728813559322, 0.08623853211009175, 0.09343434343434344]
all-MiniLM-L6-v2,percentile,4,50,0.07880041790976607,[0.05406976744186046, 0.08679245283018867, 0.09553903345724907]
all-MiniLM-L6-v2,percentile,4,100,0.07880041790976607,[0.05406976744186046, 0.08679245283018867, 0.09553903345724907]
all-MiniLM-L6-v2,percentile,7,50,0.0766191482700469,[0.05392450569203116, 0.0789980732177264, 0.09693486590038314]
all-MiniLM-L6-v2,percentile,7,100,0.0766191482700469,[0.05392450569203116, 0.0789980732177264, 0.09693486590038314]
all-MiniLM-L6-v2,percentile,10,50,0.0772312617957946,[0.05246913580246913, 0.08167330677290836, 0.09755134281200632]
all-MiniLM-L6-v2,percentile,10,100,0.0772312617957946,[0.05246913580246913, 0.08167330677290836, 0.09755134281200632]
all-MiniLM-L6-v2,percentile,13,50,0.07647559661302504,[0.052196053469127944, 0.07991803278688525, 0.09731270358306189]
all-MiniLM-L6-v2,percentile,13,100,0.07647559661302504,[0.052196053469127944, 0.07991803278688525, 0.09731270358306189]
all-MiniLM-L6-v2,percentile,16,50,0.07470755836844138,[0.05131578947368421, 0.080338266384778, 0.09246861924686192]
all-MiniLM-L6-v2,percentile,16,100,0.07470755836844138,[0.05131578947368421, 0.080338266384778, 0.09246861924686192]
all-MiniLM-L6-v2,percentile,19,50,0.07419000354495119,[0.050271739130434784, 0.08315098468271334, 0.08914728682170543]
all-MiniLM-L6-v2,percentile,19,100,0.07419000354495119,[0.050271739130434784, 0.08315098468271334, 0.08914728682170543]
all-MiniLM-L6-v2,percentile,22,50,0.07229681075878465,[0.05070422535211268, 0.08144796380090498, 0.08473824312333629]
